Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
CTO^A
CTR,39.26,,,,,,,,,,,,,0.0,0.0,,6886830,0.09219,,,6m,21,343605,,0,,,21,343605,-1.0,0
CTSO,0.963,8359047,0.188,-26888976,18041556,1.214,1.609,37071640,97.461,0.844,-0.32068002,-0.81308997,-13221131,-0.72532,-0.63225,52476792,52171600,0.091730006,2.3093526,-1.952,6m,0,0,,0,,,0,0,,4076344
CUBA,2.68,,,,,,,661751,,,,,,0.0,11.84655,,16814800,0.1532,0.5887522,,6m,0,0,,0,,,0,0,,0
CUBI^E
CUBI^F
CURI,0.4951,40304000,0.759,-8109000,4378000,1.946,2.025,56613000,5.69,1.069,-0.16054001,-0.5668,7441500,-0.14324,-1.03833,-9648096,53076000,0.47125,0.34144825,1.19,6m,0,0,,0,,,0,0,,25012042
CURIW,0.0137,40304000,0.759,-8109000,4378000,1.946,2.025,56613000,5.69,1.069,-0.16054001,-0.5668,7441500,-0.14324,-1.03833,,,,,,6m,0,0,,0,,,0,0,,0
CURO,0.22,84594000,2.047,,2107568000,12.151,13.073,244964992,,5.961,-0.08140001,,,0.0,-1.08886,2032063744,41300500,0.47242,,,6m,0,0,,0,,,0,0,,19518978
CUTR,2.08,222603008,11.161,-55437000,431241984,2.768,3.59,246372000,,12.66,-0.08498,,-96516752,-0.22501,-0.31084,250122256,20015100,0.045939997,,-4.512,6m,0,0,,0,,,0,0,,916221
CVII,10.645,2051985,0.022,,5000000,0.116,0.137,,,,-0.00401,,6538165,0.0,0.0,987781568,57064300,0.0,,,6m,0,0,,0,,,0,0,,0
CVIIU,10.51,2051985,0.022,,5000000,0.116,0.137,,,,-0.00401,,6538165,0.0,0.0,975291904,,0.0,,,6m,0,0,,0,,,0,0,,0
CVIIW,0.33,2051985,0.022,,5000000,0.116,0.137,,,,-0.00401,,6538165,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
CVKD,0.649,9109445,0.7,-7688326,27223,16.164,16.463,,0.311,,,,,0.0,0.0,-630454,13022800,0.5782,0.9657738,0.082,6m,0,0,,0,,,0,0,,7529756
CVR,15.5,2562982,2.653,-4250289,0,3.746,8.143,31583982,,32.691,-0.102460004,-0.13877,-3377089,-0.13457,-0.13207,12412064,966132,0.18686001,0.5424512,-2.92,6m,0,0,,0,,,0,0,,180531
CVU,2.52,2609693,0.206,5565010,26434716,1.429,1.507,87041936,362.187,6.92,0.05533,4.0719,-845088,0.063930005,0.10655,55759484,12672400,0.18013,4.4055943,10.02,6m,0,0,,0,,,0,0,,2282680
CVV,4.69,14285000,2.093,-1584000,368000,2.266,2.855,27232000,1.304,4.018,-0.04338,-0.01276,1039163,-0.05817,-0.01311,18089956,6824510,0.17388001,1.1336718,-11.42,6m,0,0,,0,,,0,0,,1186646
CWD,1.2,8112000,0.381,-16043000,227354000,0.284,1.074,88459000,304.128,4.597,-0.057129998,-0.37550998,-48933876,-0.18135999,-0.14482,315258464,13863100,0.37521,5.9701495,-19.651,6m,0,0,,0,,,0,0,,7984297
CXAI,2.11,7179000,0.471,,594000,0.996,1.151,-826000,0.93,-0.09,0.0126,0.55641,3569212,0.0,0.0,25601760,9617700,0.08795,0.5038204,,6m,0,0,,0,,,0,0,,1341623
CXAIW
CYCC,2.59,5944000,7.052,-28907000,52000,1.04,1.364,389000,1.21,0.464,-0.83121,-1.87399,-13689250,0.0,0.0,-3709005,1318260,0.059159998,0.50804234,0.128,6m,31,1422360,0.0,1,12,0.0,32,1422348,-1.036,49863
CYCCP,19.4,5944000,7.052,-28907000,52000,1.04,1.364,389000,1.21,0.464,-0.83121,-1.87399,-13689250,0.0,0.0,10459387,12497400,0.00477,3.8054137,-0.362,6m,0,0,,0,,,0,0,,4020
CYCN,2.8984,9108000,3.725,-38090248,0,3.891,4.214,1328000,,0.586,-1.1839399,-2.79307,-27441876,0.0,0.0,-2021133,2445100,0.23020001,0.5505034,0.053,6m,0,0,,0,,,0,0,,562861
CYN,0.2,8155641,0.195,-23308020,413371,6.056,6.376,1710961,4.052,0.046,-0.71581,-1.17979,-11831639,0.0,0.0,618318,75143800,0.01454,0.76045626,-0.027,6m,0,0,,0,,,0,0,,607814
CYTH,1.71,1801809,0.079,-19371112,45232,0.318,0.832,951809,,0.074,-1.72089,-8.50711,-7361732,0.0,0.0,37115832,28591100,0.41207,,-1.916,6m,0,0,,0,,,0,0,,9367341
CYTHW,0.2999,1801809,0.079,-19371112,45232,0.318,0.832,951809,,0.074,-1.72089,-8.50711,-7361732,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
DAIO,3.43,12341000,1.368,1072000,702000,2.917,3.978,28064000,3.455,3.139,0.01026,0.02465,,0.0382,0.01732,19302410,9020820,0.090229996,1.5230906,18.006,6m,0,0,,0,,,0,0,,813948
DALN,4.04,24454000,4.569,-339000,19034000,1.406,1.648,144816000,391.807,27.056,-0.017690001,-0.47634998,1701625,-0.00234,-0.048649997,16204060,4737790,0.09380999,4.4493394,-47.8,6m,0,0,,0,,,0,0,,502117
DATS,1.3,7498845,3.682,-9839384,102205,15.964,16.555,4419,1.366,0.002,-0.52174,-0.93165,-3090182,0.0,0.0,-4749150,2486290,0.11061,0.35220805,0.483,6m,0,0,,0,,,0,0,,225243
DATSW,0.0405,7498845,3.682,-9839384,102205,15.964,16.555,4419,1.366,0.002,-0.52174,-0.93165,-3090182,0.0,0.0,,,,0.32926828,,6m,0,0,,0,,,0,0,,0
DAVEW,0.0732,169827008,14.091,-65811000,180266000,4.869,7.981,245648992,227.663,20.713,-0.13234,-0.69354,-45152876,-0.26791,-0.28572,,,,,,6m,0,0,,0,,,0,0,,0
DBGI,3.72,1067259,1.244,-10562773,7573476,0.078,0.342,14523287,145.048,62.233,-0.25963,,-23569952,-0.72730005,-1.53616,9697454,1059960,0.07508,0.41186893,-0.918,6m,0,0,,0,,,0,0,,64408
DBGIW,13.85,1067259,1.244,-10562773,7573476,0.078,0.342,14523287,145.048,62.233,-0.25963,,-23569952,-0.72730005,-1.53616,,,,,,6m,0,0,,0,,,0,0,,0
DBL,15.18,,,,,,,,,,,,,0.0,0.0,,17071100,0.0,,,6m,0,0,,0,,,0,0,,0
DBRG^H
DBRG^I
DBRG^J
DECA,6.1,13460,0.002,,1317500,0.003,0.007,,,,,,,0.0,0.0,44677048,4537830,0.15155,,,6m,0,0,,0,,,0,0,,1077570
DECAU,6.8,13460,0.002,,1317500,0.003,0.007,,,,,,,0.0,0.0,49654276,,0.057150003,,,6m,0,0,,0,,,0,0,,406355
DECAW,0.0321,13460,0.002,,1317500,0.003,0.007,,,,,,,0.0,0.0,,,,4.585714,,6m,0,0,,0,,,0,0,,0
DFLI,0.5161,13235000,0.222,-51923000,22640000,0.428,1.536,74163000,93.035,1.533,-0.40255,-1.9656199,-24160500,-0.70012003,-0.65998,40139176,59550800,0.56507,1.2496368,-0.773,6m,0,0,,0,,,0,0,,33650376
DFLIW,0.0401,13235000,0.222,-51923000,22640000,0.428,1.536,74163000,93.035,1.533,-0.40255,-1.9656199,-24160500,-0.70012003,-0.65998,,,,0.075093634,,6m,0,0,,0,,,0,0,,0
DGLY,2.21,2207831,0.788,-23776104,5788582,0.284,0.802,31194022,30.692,11.306,-0.27101,-0.82365996,4401077,-0.7622,-0.89509004,10447731,2800750,0.07546,0.34041896,-0.439,6m,0,0,,0,,,0,0,,211344
DHAC,11.49,507,0.0,,2065767,0.0,0.004,,,,-0.02858,,-679318,0.0,0.0,43245028,3603970,0.81087,,,6m,0,0,,0,,,0,0,,2906130
DHACW,0.1299,507,0.0,,2065767,0.0,0.004,,,,-0.02858,,-679318,0.0,0.0,,,,25.98,,6m,0,0,,0,,,0,0,,0
DHAI,0.769,1987000,0.186,3440000,17316000,0.168,0.394,64987000,,4.989,,,,0.05293,-0.04644,23526764,40544900,0.35417998,,6.839,6m,0,0,,0,,,0,0,,3775662
DHAIW,0.0198,1987000,0.186,3440000,17316000,0.168,0.394,64987000,,4.989,,,,0.05293,-0.04644,,,,,,6m,0,0,,0,,,0,0,,0
DHCA,11.25,60847,0.005,,575000,0.008,0.011,,,,-0.0114400005,,377645,0.0,0.0,139821120,9793720,0.0,,,6m,0,0,,0,,,0,0,,0
DHCAU,11.1,60847,0.005,,575000,0.008,0.011,,,,-0.0114400005,,377645,0.0,0.0,137963696,,0.0,,,6m,0,0,,0,,,0,0,,0
DHCAW,0.14,60847,0.005,,575000,0.008,0.011,,,,-0.0114400005,,377645,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
DHF,2.35,1125785,0.015,,79000000,1.671,1.693,21374096,42.829,0.294,0.04468,0.12640001,10011468,0.0,1.06446,248805072,72736496,6.0000002e-05,0.9266561,,6m,0,0,,0,,,0,0,,4364
DHY,1.98,180872,0.002,,83500000,0.101,0.262,24422092,38.614,0.236,0.039419997,-0.0075199995,7261460,0.0,-0.069860004,269643840,103514000,0.0,0.9478219,,6m,0,0,,0,,,0,0,,0
DLA,3.47,377000,0.053,-4379000,202788000,0.163,1.101,387990016,142.832,55.417,-0.025510002,-0.23778,61353752,-0.01129,-0.09839,226165488,7051150,0.15491,0.17147657,-51.648,6m,0,0,,0,,,0,0,,1092293
DLPN,1.335,6406646,0.353,-3663948,25937620,0.684,1.088,42239676,113.29,3.296,-0.05947,-0.64467,-3831104,-0.086739995,-0.39586,43750668,18141300,0.1383,0.8297079,-11.941,6m,0,0,,0,,,0,0,,2508948
DLR^J
DLR^K
DLR^L
DMO,11.64,1202812,0.106,,100000000,0.025,0.033,22094224,72.904,1.941,0.04981,0.10022,3782410,0.0,0.62426996,231301600,11383500,0.0,0.96605533,,6m,0,0,,0,,,0,0,,0
DMTK,0.8541,55864000,1.613,-96215000,54394000,4.347,4.592,15296000,95.136,0.469,-0.37823,-1.06462,-37312500,0.0,0.0,28101882,34623400,0.04267,0.51576084,-0.292,6m,1,90000,0.063,6,37890,0.027,7,52110,0.037,1477382
DNP,8.78,44624936,0.123,,1103988608,1.923,1.931,140971360,41.127,0.389,0.01702,-0.06465,10906075,0.0,-1.31884,4242428672,363100992,0.00054000004,1.1858455,,6m,0,0,,0,,,0,0,,195769
DOMH,1.95,20663000,3.91,,3548000,11.999,20.259,1034000,6.081,0.197,-0.16163999,-0.33128,-17307124,0.0,0.0,-6808930,5934920,0.41007,0.17663044,,6m,0,0,,0,,,0,0,,2167287
DPCS,10.95,580237,0.059,,4600000,0.545,0.586,,,,-0.00658,,-21573,0.0,0.0,111432712,4059400,0.0,,,6m,0,0,,0,,,0,0,,0
DPG,9.24,,,,,,,,,,,,,0.0,0.0,,38181700,0.00095,,,6m,5,9785,,0,,,5,9785,-1.0,0
DRH^A
DRMA,0.4312,6631483,2.079,,0,7.233,7.988,,,,-0.5778,-1.05646,-4465436,0.0,0.0,-5256371,3539030,0.07086,0.21463414,,6m,0,0,,0,,,0,0,,225974
DRMAW,0.0105,6631483,2.079,,0,7.233,7.988,,,,-0.5778,-1.05646,-4465436,0.0,0.0,,,,0.028455285,,6m,0,0,,0,,,0,0,,0
DRRX,0.97,38985000,1.307,-41964000,23154000,1.085,1.191,9194000,160.725,0.374,-0.42744,-1.4880999,-14228125,0.0,0.0,13103024,29828900,0.06347,1.9207921,-0.312,6m,0,0,,0,,,0,0,,1893239
DSM,5.79,722872,0.015,,113555000,0.15,0.15,20427716,35.514,0.413,0.02247,0.02621,59655532,0.0,0.44505,399024256,49428700,0.0,0.8950379,,6m,0,0,,0,,,0,0,,0
DSS,1.8,6897000,0.983,-24080000,62238000,0.188,0.456,34625000,48.72,4.958,-0.086160004,-0.53828,-10868500,-0.69545,-2.2304401,101411784,7013210,0.59837,0.1338688,-4.211,6m,60,95627082,0.0,1,151020,0.0,61,95476062,-1.046,4196496
DSU,11.11,1976150,0.042,,137005568,0.072,0.075,52978552,27.415,1.137,0.04536,0.13342,27690748,0.0,1.22854,652870016,46610300,3.0000001e-05,1.0361873,,6m,0,0,,0,,,0,0,,1398
DTIL,12.21,122231000,30.831,-71515000,23859000,2.484,2.881,52287000,82.094,13.887,-0.22649,-1.5381799,-71768752,-1.36774,-1.40605,-49965432,4063960,0.14429,1.6200079,0.699,6m,81,6962551,0.0,42,893745,0.0,123,6068806,-1.104,572038
DTST,5.72,11525309,1.68,620441,822145,3.65,3.879,24737344,4.177,3.621,-0.01528,-0.13198,1650876,0.02508,-0.108,28321552,6859630,0.39715,1.9717338,45.647,6m,0,0,,0,,,0,0,,2724301
DTSTW,0.56,11525309,1.68,620441,822145,3.65,3.879,24737344,4.177,3.621,-0.01528,-0.13198,1650876,0.02508,-0.108,,,,,,6m,0,0,,0,,,0,0,,0
DUK^A
DUOT,3.89,3266916,0.451,-8725215,5222975,1.435,1.989,11878940,92.048,1.656,-0.39853,-1.8126199,-8007341,-0.73450994,-0.76044,30142258,7247130,0.29021,4.968072,-3.455,6m,0,0,,0,,,0,0,,2102805
DWSN,1.28,14156000,0.459,-11049000,5494000,1.282,2.079,75940000,16.447,3.146,-0.20984,-0.37905997,-5449375,-0.1455,-0.19247,30777782,30812300,1.0000001e-05,1.1808118,-2.786,6m,0,0,,0,,,0,0,,308
DX^C
DXR,7.7399,,,,0,,,177370,,0.037,-0.023459999,0.15822,,0.0,22.28927,,4792320,0.57073003,1.221768,,6m,0,0,,0,,,0,0,,2735120
DXYN,0.55,173000,0.012,-4064000,115393000,0.626,2.673,280204992,445.052,18.932,-0.03133,-0.60548997,6366750,-0.0145000005,-0.086840004,123251904,14426000,0.1183,0.31003383,-30.328,6m,0,0,,0,,,0,0,,1727589
DYAI,1.41,8175980,0.284,,148166,5.904,6.236,2955997,1.936,0.103,-0.42064,-0.67804,-4880908,0.0,-2.32412,32595782,28811100,0.30348,5.3007517,,6m,0,0,,0,,,0,0,,8743580
DYNT,0.4608,401107,0.082,-3399856,6908167,0.504,1.406,35176880,44.483,8.392,-0.09175,-0.27628002,439844,-0.09665,-0.14125,16737646,4882380,0.32502,0.27659062,-4.923,6m,0,0,,0,,,0,0,,1586869
DZSI,1.35,28892000,0.927,-29680000,55764000,0.949,1.357,389463008,43.605,13.447,-0.07998,-0.39808,645875,-0.07621,-0.13227999,68937704,37556800,0.46886003,0.3283074,-2.323,6m,0,0,,0,,,0,0,,14609574
EAC,11.33,57726,0.007,,3043323,0.014,0.036,,,,-0.008909999,,-746822,0.0,0.0,92384160,7890430,0.88205004,,,6m,0,0,,0,,,0,0,,6959753
EACPW,0.0051,57726,0.007,,3043323,0.014,0.036,,,,-0.008909999,,-746822,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
EAD,6.63,17666,0.0,,189000000,0.056,0.056,42566112,47.077,0.717,0.03901,0.038829997,28353836,0.0,0.37633,582592640,59368100,0.0,0.9804792,,6m,0,0,,0,,,0,0,,0
EAST,1.05,358000,0.229,-3977143,13406000,0.36,1.431,10806000,505.124,12.103,-0.14008,-2.60246,-2157000,-0.36805,-1.39793,14688051,1561950,0.10982,0.6086956,-3.693,6m,4,131878,2.2089999,3,20031,0.336,7,111847,1.874,171533
ECC^D
ECDA,0.8875,5182541,0.162,1214443,8089452,0.563,0.815,19545080,,,,,,0.062140003,0.06982,31217836,31899600,0.74716,,25.705,6m,0,0,,0,,,0,0,,23834130
ECDAW,0.025,5182541,0.162,1214443,8089452,0.563,0.815,19545080,,,,,,0.062140003,0.06982,,,,,,6m,0,0,,0,,,0,0,,0
ECF,8.0,43926,0.003,,0,4.096,4.096,5496803,,0.4,0.01302,0.03629,,0.0,1.14952,152358688,13734900,0.0,0.888494,,6m,2,631,10.516999,1,691,11.516999,3,-60,-1.0,0
ECF^A
ECOR,6.63,13460000,2.242,-19661000,645000,1.651,2.097,13399000,5.842,2.663,-0.51775,-1.23884,-9101000,-1.46735,-1.53683,26981044,6002420,0.27296,3.6032608,-1.372,6m,0,0,,0,,,0,0,,1638420
EDBL,0.3967,2578000,0.452,-8492000,4576000,2.15,2.608,13041000,115.848,6.677,-0.66423,-5.01401,-6916625,-0.65117997,-0.6863,4261428,5705640,0.04516,0.57243866,-0.502,6m,0,0,,0,,,0,0,,257666
EDBLW,0.0195,2578000,0.452,-8492000,4576000,2.15,2.608,13041000,115.848,6.677,-0.66423,-5.01401,-6916625,-0.65117997,-0.6863,,,,,,6m,0,0,,0,,,0,0,,0
EDD,4.7,,,,,,,,,,,,,0.0,0.0,,65258500,0.0,,,6m,0,0,,0,,,0,0,,0
EDF,4.97,,,,,,,,,,,,,0.0,0.0,,28867000,0.00014999999,,,6m,1,2500,,0,,,1,2500,-1.0,0
EDSA,4.41,4267787,1.346,-8578548,78314,2.522,2.726,,1.34,,-0.55763,-0.95767,-3774177,0.0,0.0,9797989,3171760,0.18765,2.3876555,-1.142,6m,65,6497205,0.0,8,357988,0.0,73,6139217,-1.107,595180
EDUC,1.67,3156400,0.368,-3694400,35669600,0.248,3.636,57042100,75.708,6.869,-0.04,0.00513,-3835163,-0.064770006,0.00423,46826916,8571090,0.26650998,0.30380204,-12.675,6m,0,0,,0,,,0,0,,2284280
EEA,8.82,205889,0.03,,0,1.841,1.841,1979301,,0.288,0.00909,0.19503,,0.0,6.32279,60406316,6872130,0.00099,0.8775246,,6m,1,1000,0.138,1,1479,0.204,2,-479,-0.066,6803
EEIQ,1.1999,4966839,0.414,-6715879,1130506,0.873,1.266,5712480,10.34,0.49,-0.20605,-0.52996,-2284919,-1.17565,-1.18385,12350779,12702200,0.6825,1.5746719,-1.839,6m,0,0,,0,,,0,0,,8188753
EFC^A
EFC^B
EFC^C
EFC^D
EFC^E
EFOI,1.75,2423000,0.557,-4914000,2339000,0.702,1.796,3987000,60.098,1.598,-0.31545,-2.12403,-602125,-1.23251,-1.44319,7526207,4348690,0.28474,1.9553072,-1.532,6m,0,0,,0,,,0,0,,1238246
EFR,12.92,8480647,0.291,,120000000,0.098,0.101,45890968,26.863,1.573,0.03777,-0.0021600001,17962310,0.0,-0.02179,564502656,29174800,0.0,1.0169225,,6m,0,0,,0,,,0,0,,0
EFTR,15.57,17779000,6.878,-33861000,20476000,0.755,0.817,675000,,0.349,-0.7474,-9.46563,-18756876,0.0,0.0,42943908,3416630,0.04439,,-1.268,6m,26,14318664,0.0,21,1619320,0.0,47,12699344,-1.0090001,114743
EFTRW,0.181,17779000,6.878,-33861000,20476000,0.755,0.817,675000,,0.349,-0.7474,-9.46563,-18756876,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
EGF,9.47,8616,0.002,,159923,0.287,0.42,1960975,0.393,0.498,0.015520001,-0.020550001,2427960,0.0,-0.45241,37417756,3738450,0.0,0.91577226,,6m,0,0,,0,,,0,0,,0
EGIO,8.13,27633000,4.901,-74243000,155790000,0.721,0.851,403588992,101.425,72.469,-0.13861,-0.63106,28650000,-0.18396,-0.35097998,173999392,5855350,0.04267,0.29843622,-2.344,6m,275,15929633,0.33400002,98,63411136,1.329,373,-47481504,-0.995,240602
EHI,7.11,377485,0.017,,70000000,0.068,0.071,22224934,42.989,0.978,0.046669997,0.02722,11427274,0.0,0.20764999,231195888,22724800,0.0,0.9923238,,6m,0,0,,0,,,0,0,,0
EIGR,6.95,44427000,30.029,-83352000,40939000,2.769,3.306,14666000,,9.951,-0.52435,-2.25926,-52156376,0.0,0.0,6794441,1479490,0.117989995,,-0.082,6m,0,0,,0,,,0,0,,174564
EIM,10.38,,,,374584992,7.024,7.38,53582548,49.95,0.753,0.022130001,0.0098,-1318637,0.0,0.13989,,71153200,0.0,0.98491323,,6m,0,0,,0,,,0,0,,0
EKSO,1.58,8638000,0.598,-13414000,7168000,1.76,2.49,18279000,56.862,1.318,-0.27055,-0.79889,-9196750,-0.73385,-0.83145,21364160,17903100,0.13489,1.8119267,-1.593,6m,0,0,,0,,,0,0,,1949430
ELAB,0.7301,487695,0.028,-3220555,244219,0.302,0.777,1152902,,0.118,,,,-2.7934299,0.0,12409447,17329600,0.70902,,-3.853,6m,0,0,,0,,,0,0,,12287045
ELDN,1.64,59609000,2.463,,479000,20.562,21.729,,0.524,,-0.21729,-0.76655,-25111750,0.0,0.0,-19445066,24198100,0.055630002,0.4227894,,6m,0,0,,0,,,0,0,,1346142
ELSE,4.08,9928000,2.896,1075000,1000,13.557,16.133,8353000,0.007,2.44,0.04319,0.02641,536625,0.1287,0.04202,4059325,3428020,0.52728003,1.0336964,3.776,6m,0,0,,0,,,0,0,,1807527
ELTX,4.1,14115000,1.685,-31902436,6215000,1.229,1.735,,46.779,,-0.81482005,,,0.0,0.0,26451280,9605650,0.56561,2.5851197,-0.829,6m,0,0,,0,,,0,0,,4738884
EMCG,11.1,9208,0.001,,10000,0.01,0.029,,,,-0.00834,,282004,0.0,0.0,82398032,7423180,0.30604,,,6m,0,0,,0,,,0,0,,2271788
EMCGR,0.1402,9208,0.001,,10000,0.01,0.029,,,,-0.00834,,282004,0.0,0.0,,,,11.683333,,6m,0,0,,0,,,0,0,,0
EMD,9.17,241,0.0,,250000000,0.063,0.069,65480976,40.482,1.12,0.04144,0.11569,26413416,0.0,1.09043,785927232,58443600,0.0,0.86779594,,6m,0,0,,0,,,0,0,,0
EMF,11.59,580107,0.037,,25000000,0.085,0.085,8582075,11.536,0.548,0.016280001,0.07441,,0.0,1.86497,205954384,15508500,0.0,0.8502678,,6m,0,0,,0,,,0,0,,0
EMKR,0.4222,20679000,0.267,-13682000,31997000,1.626,3.107,101860000,42.414,1.582,-0.0708,-0.49499,-3754250,-0.13432,-0.68079,43962624,77320304,0.16388,0.43258196,-3.213,6m,0,0,,0,,,0,0,,12671248
EMLD,10.49,25623,0.001,,1500000,0.009,0.037,,,,-0.0080699995,,-355536,0.0,0.0,266046576,25221400,0.20515,,,6m,0,0,,0,,,0,0,,5174164
EMLDW,0.09,25623,0.001,,1500000,0.009,0.037,,,,-0.0080699995,,-355536,0.0,0.0,,,,30.0,,6m,0,0,,0,,,0,0,,0
EMO,38.29,,,,,,,,,,,,,0.0,0.0,,12787300,0.0,,,6m,30,563538,,0,,,30,563538,-1.0,0
ENG,1.82,1488000,0.29,-20246000,9375000,0.953,0.97,40793000,445.368,8.444,-0.40088,-1.91565,-3392625,-0.49631,-0.54948,17214260,5125000,0.25872,4.4282236,-0.85,6m,38,2203348,0.0,7,147762,0.0,45,2055586,-2.8170002,1325905
ENSC,0.804,1464381,0.465,,353664,0.774,1.358,3148951,30.55,1.869,-1.4949001,,-8964304,0.0,0.0,1091284,3146140,0.05702,1.5491331,,6m,0,0,,0,,,0,0,,179389
ENSV,0.1855,300000,0.011,-2324000,7999000,0.222,0.661,22080000,644.042,1.303,-0.23313999,-4.67684,-2204625,-0.10524999,-0.37491,12630653,26879600,0.02406,3.7857144,-5.435,6m,0,0,,0,,,0,0,,639652
ENVB,1.41,4266568,1.838,-18067216,0,1.02,1.393,,,,-0.61417997,-1.73087,-7586939,0.0,0.0,-993513,2739320,0.188,1.2634407,0.055,6m,0,0,,0,,,0,0,,436407
ENX,9.89,,,,86414776,4.374,4.374,12749927,49.547,0.71,0.02214,0.01568,13670,0.0,0.2168,,17961300,0.0,1.0185376,,6m,0,0,,0,,,0,0,,0
EOD,4.6,,,,,,,,,,,,,0.0,0.0,,43195400,0.0,,,6m,2,4700,,0,,,2,4700,-1.0,0
EOI,17.97,,,,0,0.339,0.365,9992996,,0.248,0.0027200002,-0.071279995,,0.0,0.0,600767616,40367000,0.000120000004,1.1530317,,6m,0,0,,0,,,0,0,0.0,4838
EOSEW,0.191,69473000,0.343,-136027008,208704992,1.479,2.01,16378000,,0.129,-0.62133,,-145837504,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
EP^C
EPR^C
EPR^E
EPR^G
EQC^D
EQH^A
EQH^C
EQS,1.48,13672000,1.011,,17987000,0.753,1.74,60000,38.166,0.004,-0.048410002,0.26147,-16496125,0.0,181.63332,24321856,13518100,0.65037,0.42455536,,6m,0,0,,0,,,0,0,,8791797
ERC,9.36,272583,0.01,,119000000,0.062,0.063,28099114,45.196,1.001,0.04084,0.07661,13995665,0.0,0.72109,381427904,28066300,0.0,0.9977614,,6m,0,0,,0,,,0,0,,0
ERNA,1.8703,4551000,0.841,-20340000,39599000,0.657,0.73,51000,1111.707,0.01,-0.34881002,-3.23297,-9020625,0.0,0.0,45167944,5410330,0.40629002,2.8424013,-2.221,6m,0,0,,0,,,0,0,,2198163
ESAC,5.9,267058,0.032,,1409795,0.038,0.039,,,,-0.021259999,,1202497,0.0,0.0,50163212,7027630,0.79957,,,6m,0,0,,0,,,0,0,,6643271
ESACU,8.02,267058,0.032,,1409795,0.038,0.039,,,,-0.021259999,,1202497,0.0,0.0,67777352,,0.0,,,6m,0,0,,0,,,0,0,,0
ESACW,0.13,267058,0.032,,1409795,0.038,0.039,,,,-0.021259999,,1202497,0.0,0.0,,,,64.99999,,6m,0,0,,0,,,0,0,,0
ESHA,10.35,1968602,0.134,,0,3.006,3.492,,,,,,,0.0,0.0,149788272,11787500,0.0,63.88889,,6m,0,0,,0,,,0,0,,0
ESHAR
ESLA,1.01,9046015,0.247,,6000,22.687,23.693,,0.066,,-0.83627,-2.2089,-8311677,0.0,0.0,27936964,36610900,0.74086,3.929961,,6m,0,0,,0,,,0,0,,27123530
ESLAW,0.04,2479146,0.07,,22000,0.254,0.282,,,,-1.7475301,,2812901,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ET^E
ET^I
ETAO,0.1601,12038241,0.118,-735194432,15409672,0.612,0.768,58060024,,0.581,-3.34948,-12.09841,281820256,0.0,0.0,29367558,102446000,0.55092996,,-0.04,6m,0,0,,0,,,0,0,,56358436
ETG,17.78,740946,0.01,,370000000,1.531,1.71,66193032,27.227,0.866,0.01781,0.030539999,12577124,0.0,0.64107,1518437120,76459000,3.0000001e-05,1.0003376,,6m,1,3943,,0,,,1,3943,-2.391,2293
ETI^
ETJ,8.36,,,,,,,,,,,,,0.0,0.0,,67301800,7e-05,,,6m,0,0,,0,,,0,0,,0
ETY,13.09,,,,0,0.15,0.223,29740172,,0.189,0.00336,0.05056,,0.0,3.2263,1776210688,157388000,4.0000003e-05,1.1006474,,6m,0,0,,0,,,0,0,0.0,6293
EVG,10.725,2839583,0.211,,25500000,0.102,0.203,14181424,18.08,1.055,0.03887,0.09413,7929553,0.0,0.93568003,166833344,13442700,0.0,1.0222075,,6m,0,0,,0,,,0,0,,0
EVM,9.24,,,,104299520,0.757,0.806,15777561,44.163,0.639,0.019809999,0.02131,6220237,0.0,0.32154998,,24672900,0.0,0.9653155,,6m,0,0,,0,,,0,0,,0
EVOK,0.679,5964826,1.784,,5013370,3.213,3.499,4301006,,1.287,-0.42636,-3.2659,-4122555,0.0,-1.76892,1318488,8477800,0.00972,,,6m,0,0,,0,,,0,0,,32494
EVT,22.73,100116,0.001,,447000000,1.392,1.446,81593136,27.796,1.095,0.01793,-0.01977,24880726,0.0,-0.40987,2141257344,74542800,0.0,1.053583,,6m,0,0,,0,,,0,0,,0
